idproduccion,idfabricaciones,idordenproduccion,cantidad,1,2,3,4,5,6,7,8,standby,f_gen
1,1,1,1,0,0,0,0,1,0,0,0,0,"2018-02-01 00:00:00"
2,2,1,60,0,0,0,60,0,0,0,0,0,"2018-02-01 00:00:00"
3,3,1,2,0,0,0,0,2,0,0,0,0,"2018-02-01 00:00:00"
4,4,1,4,0,0,0,0,4,0,0,0,0,"2018-02-01 00:00:00"
5,5,1,64,0,0,0,64,0,0,0,0,0,"2018-02-01 00:00:00"
6,6,1,49,0,0,0,49,0,0,0,0,0,"2018-02-01 00:00:00"
7,7,1,1,1,0,0,0,0,0,0,0,0,"2018-02-01 00:00:00"
8,8,1,4,0,0,0,4,0,0,0,0,0,"2018-02-01 00:00:00"
9,9,1,1,0,0,0,0,1,0,0,0,0,"2018-02-01 00:00:00"
10,10,1,1,0,0,1,0,0,0,0,0,0,"2018-02-01 00:00:00"
12,12,1,2,0,0,0,0,2,0,0,0,0,"2018-02-01 00:00:00"
13,13,1,136,0,0,0,0,136,0,0,0,0,"2018-02-01 00:00:00"
14,14,1,52,0,0,0,52,0,0,0,0,0,"2018-02-01 00:00:00"
15,15,1,3,0,0,0,3,0,0,0,0,0,"2018-02-01 00:00:00"
16,16,1,22,0,0,0,22,0,0,0,0,0,"2018-02-01 00:00:00"
17,17,1,21,0,0,0,21,0,0,0,0,0,"2018-02-01 00:00:00"
18,18,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
19,19,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
20,20,1,3,0,0,0,3,0,0,0,0,0,"2018-02-01 00:00:00"
21,21,1,3,0,0,0,3,0,0,0,0,0,"2018-02-01 00:00:00"
22,22,1,1,0,0,1,0,0,0,0,0,0,"2018-02-01 00:00:00"
23,23,1,1,0,0,1,0,0,0,0,0,0,"2018-02-01 00:00:00"
24,24,1,4,0,0,0,4,0,0,0,0,0,"2018-02-01 00:00:00"
25,25,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
26,26,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
27,27,1,5,0,0,0,5,0,0,0,0,0,"2018-02-01 00:00:00"
28,28,1,5,0,0,0,5,0,0,0,0,0,"2018-02-01 00:00:00"
29,29,1,3,0,0,0,3,0,0,0,0,0,"2018-02-01 00:00:00"
30,30,1,5,0,0,0,5,0,0,0,0,0,"2018-02-01 00:00:00"
31,31,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
32,32,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
